FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Indicator (public transport)
S12000033,Aberdeen City,Council Area,2007,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2006,Count,Train Stations,2,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2008,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2007,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2010,Count,Train Stations,14,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2009,Count,Train Stations,6,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2009,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2008,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2011,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2010,Count,Train Stations,19,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2011,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2007,Count,Train Stations,0,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2010,Count,Train Stations,58,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2009,Count,Train Stations,10,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2012,Count,Train Stations,9,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2011,Count,Train Stations,9,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2006,Count,Train Stations,10,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2008,Count,Train Stations,10,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2007,Count,Train Stations,10,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2007,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2008,Count,Train Stations,6,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2012,Count,Train Stations,7,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2006,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2011,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2012,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2009,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2010,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2006,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2007,Count,Train Stations,7,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2011,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2012,Count,Train Stations,1,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2010,Count,Train Stations,6,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2011,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2008,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2009,Count,Train Stations,7,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2009,Count,Train Stations,9,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2010,Count,Train Stations,1,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2007,Count,Train Stations,9,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2008,Count,Train Stations,9,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2007,Count,Train Stations,0,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2011,Count,Train Stations,9,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2012,Count,Train Stations,9,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2008,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2009,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2006,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2007,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2012,Count,Train Stations,7,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2006,Count,Train Stations,9,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2010,Count,Train Stations,14,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2011,Count,Train Stations,7,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2010,Count,Train Stations,6,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2009,Count,Train Stations,58,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2012,Count,Train Stations,59,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2011,Count,Train Stations,59,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2006,Count,Train Stations,58,Number Of Passenger Train Stations
S12000014,Falkirk,Council Area,2012,Count,Train Stations,5,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2008,Count,Train Stations,58,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2007,Count,Train Stations,58,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2011,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2010,Count,Train Stations,6,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2012,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2007,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2006,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2009,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2008,Count,Train Stations,14,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2008,Count,Train Stations,0,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2010,Count,Train Stations,7,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2009,Count,Train Stations,0,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2009,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2010,Count,Train Stations,2,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2007,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2008,Count,Train Stations,1,Number Of Passenger Train Stations
S12000014,Falkirk,Council Area,2009,Count,Train Stations,5,Number Of Passenger Train Stations
S12000014,Falkirk,Council Area,2008,Count,Train Stations,5,Number Of Passenger Train Stations
S12000014,Falkirk,Council Area,2011,Count,Train Stations,5,Number Of Passenger Train Stations
S12000014,Falkirk,Council Area,2010,Count,Train Stations,2,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2011,Count,Train Stations,0,Number Of Passenger Train Stations
S12000014,Falkirk,Council Area,2007,Count,Train Stations,5,Number Of Passenger Train Stations
S12000014,Falkirk,Council Area,2006,Count,Train Stations,5,Number Of Passenger Train Stations
S92000003,Scotland,Country,2004,Count,Vehicle Kilometres,359,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2012,Count,Train Stations,349,Number Of Passenger Train Stations
S92000003,Scotland,Country,2006,Count,Vehicle Kilometres,384,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2005,Count,Vehicle Kilometres,374,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2009,Count,Train Stations,349,Number Of Passenger Train Stations
S92000003,Scotland,Country,2008,Count,Train Stations,346,Number Of Passenger Train Stations
S92000003,Scotland,Country,2011,Count,Train Stations,348,Number Of Passenger Train Stations
S92000003,Scotland,Country,2010,Count,Train Stations,348,Number Of Passenger Train Stations
S92000003,Scotland,Country,2012,Count,Vehicle Kilometres,327,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2011,Count,Vehicle Kilometres,338,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S12000047,Fife,Council Area,2006,Count,Train Stations,19,Number Of Passenger Train Stations
S92000003,Scotland,Country,2013,Count,Vehicle Kilometres,332,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2008,Count,Vehicle Kilometres,386,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2007,Count,Vehicle Kilometres,397,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2010,Count,Vehicle Kilometres,346,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2009,Count,Vehicle Kilometres,377,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2003,Count,Passenger Journeys,478,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S12000045,East Dunbartonshire,Council Area,2012,Count,Train Stations,6,Number Of Passenger Train Stations
S92000003,Scotland,Country,2005,Count,Passenger Journeys,465,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2004,Count,Passenger Journeys,459,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S12000045,East Dunbartonshire,Council Area,2009,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2008,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2011,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2010,Count,Train Stations,19,Number Of Passenger Train Stations
S92000003,Scotland,Country,2011,Count,Passenger Journeys,436,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2010,Count,Passenger Journeys,430,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2013,Count,Passenger Journeys,421,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2012,Count,Passenger Journeys,420,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2007,Count,Passenger Journeys,487,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2006,Count,Passenger Journeys,476,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2009,Count,Passenger Journeys,458,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2008,Count,Passenger Journeys,484,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S12000014,Falkirk,Council Area,2013,Count,Train Stations,5,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2013,Count,Train Stations,0,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2013,Count,Train Stations,14,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2013,Count,Train Stations,59,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2013,Count,Train Stations,6,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2013,Count,Train Stations,7,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2013,Count,Train Stations,9,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2013,Count,Train Stations,7,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2013,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2013,Count,Train Stations,0,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2013,Count,Train Stations,19,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2013,Count,Train Stations,9,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2013,Count,Train Stations,3,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2013,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2013,Count,Train Stations,0,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2013,Count,Train Stations,12,Number Of Passenger Train Stations
S12000047,Fife,Council Area,2012,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,Fife,Council Area,2011,Count,Train Stations,19,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2007,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2006,Count,Train Stations,7,Number Of Passenger Train Stations
S12000047,Fife,Council Area,2008,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,Fife,Council Area,2007,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,Fife,Council Area,2010,Count,Train Stations,13,Number Of Passenger Train Stations
S12000047,Fife,Council Area,2009,Count,Train Stations,19,Number Of Passenger Train Stations
S92000003,Scotland,Country,2006,Count,Train Stations,344,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2012,Count,Train Stations,7,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2013,Count,Train Stations,1,Number Of Passenger Train Stations
S92000003,Scotland,Country,2007,Count,Train Stations,345,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2009,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2008,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2011,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2010,Count,Train Stations,12,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2008,Count,Train Stations,10,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2007,Count,Train Stations,10,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2010,Count,Train Stations,25,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2009,Count,Train Stations,10,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2011,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2010,Count,Train Stations,12,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2006,Count,Train Stations,10,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2012,Count,Train Stations,14,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2009,Count,Train Stations,10,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2008,Count,Train Stations,10,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2011,Count,Train Stations,10,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2010,Count,Train Stations,0,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2012,Count,Train Stations,11,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2011,Count,Train Stations,11,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2007,Count,Train Stations,10,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2006,Count,Train Stations,10,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2006,Count,Train Stations,5,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2012,Count,Train Stations,2,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2008,Count,Train Stations,6,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2007,Count,Train Stations,5,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2009,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2008,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2011,Count,Train Stations,2,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2010,Count,Train Stations,0,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2007,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2006,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2009,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2008,Count,Train Stations,14,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2010,Count,Train Stations,3,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2009,Count,Train Stations,6,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2012,Count,Train Stations,6,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2011,Count,Train Stations,6,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2011,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2010,Count,Train Stations,0,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2006,Count,Train Stations,2,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2012,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2007,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2006,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2009,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2008,Count,Train Stations,7,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2012,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2011,Count,Train Stations,2,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2007,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2006,Count,Train Stations,6,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2008,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2007,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2010,Count,Train Stations,0,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2009,Count,Train Stations,2,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2010,Count,Train Stations,7,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2009,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2012,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2011,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2006,Count,Train Stations,13,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2012,Count,Train Stations,10,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2008,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2007,Count,Train Stations,13,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2010,Count,Train Stations,10,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2009,Count,Train Stations,12,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2012,Count,Train Stations,12,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2011,Count,Train Stations,12,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2007,Count,Train Stations,10,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2006,Count,Train Stations,10,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2008,Count,Train Stations,10,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2016,Ratio,Percent Of Adults,61,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000005,Clackmannanshire,Council Area,2016,Ratio,Percent Of Adults,58,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000010,East Lothian,Council Area,2016,Ratio,Percent Of Adults,78,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000008,East Ayrshire,Council Area,2016,Ratio,Percent Of Adults,77,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000050,North Lanarkshire,Council Area,2015,Ratio,Percent Of Adults,75,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000049,Glasgow City,Council Area,2015,Ratio,Percent Of Adults,82,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S92000003,Scotland,Country,2015,Ratio,Percent Of Adults,74,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000018,Inverclyde,Council Area,2016,Ratio,Percent Of Adults,84,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000017,Highland,Council Area,2016,Ratio,Percent Of Adults,59,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000019,Midlothian,Council Area,2016,Ratio,Percent Of Adults,87,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000013,Na h-Eileanan Siar,Council Area,2016,Ratio,Percent Of Adults,62,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000011,East Renfrewshire,Council Area,2016,Ratio,Percent Of Adults,74,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000014,Falkirk,Council Area,2016,Ratio,Percent Of Adults,66,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000038,Renfrewshire,Council Area,2015,Ratio,Percent Of Adults,73,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000036,City of Edinburgh,Council Area,2015,Ratio,Percent Of Adults,89,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000039,West Dunbartonshire,Council Area,2015,Ratio,Percent Of Adults,79,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000034,Aberdeenshire,Council Area,2015,Ratio,Percent Of Adults,63,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000033,Aberdeen City,Council Area,2015,Ratio,Percent Of Adults,61,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000035,Argyll and Bute,Council Area,2015,Ratio,Percent Of Adults,81,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000047,Fife,Council Area,2015,Ratio,Percent Of Adults,78,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000045,East Dunbartonshire,Council Area,2015,Ratio,Percent Of Adults,76,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000048,Perth and Kinross,Council Area,2015,Ratio,Percent Of Adults,70,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000041,Angus,Council Area,2015,Ratio,Percent Of Adults,71,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000040,West Lothian,Council Area,2015,Ratio,Percent Of Adults,69,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000042,Dundee City,Council Area,2015,Ratio,Percent Of Adults,78,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000042,Dundee City,Council Area,2016,Ratio,Percent Of Adults,78,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000041,Angus,Council Area,2016,Ratio,Percent Of Adults,70,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000045,East Dunbartonshire,Council Area,2016,Ratio,Percent Of Adults,75,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000039,West Dunbartonshire,Council Area,2016,Ratio,Percent Of Adults,85,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000038,Renfrewshire,Council Area,2016,Ratio,Percent Of Adults,80,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000040,West Lothian,Council Area,2016,Ratio,Percent Of Adults,58,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S92000003,Scotland,Country,2016,Ratio,Percent Of Adults,72,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000050,North Lanarkshire,Council Area,2016,Ratio,Percent Of Adults,70,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000005,Clackmannanshire,Council Area,2017,Ratio,Percent Of Adults,35,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000048,Perth and Kinross,Council Area,2016,Ratio,Percent Of Adults,73,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000047,Fife,Council Area,2016,Ratio,Percent Of Adults,75,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000049,Glasgow City,Council Area,2016,Ratio,Percent Of Adults,78,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000027,Shetland Islands,Council Area,2016,Ratio,Percent Of Adults,71,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000026,Scottish Borders,Council Area,2016,Ratio,Percent Of Adults,63,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000028,South Ayrshire,Council Area,2016,Ratio,Percent Of Adults,67,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000021,North Ayrshire,Council Area,2016,Ratio,Percent Of Adults,78,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000020,Moray,Council Area,2016,Ratio,Percent Of Adults,49,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000023,Orkney Islands,Council Area,2016,Ratio,Percent Of Adults,69,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000035,Argyll and Bute,Council Area,2016,Ratio,Percent Of Adults,79,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000034,Aberdeenshire,Council Area,2016,Ratio,Percent Of Adults,53,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000036,City of Edinburgh,Council Area,2016,Ratio,Percent Of Adults,90,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000030,Stirling,Council Area,2016,Ratio,Percent Of Adults,55,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000029,South Lanarkshire,Council Area,2016,Ratio,Percent Of Adults,63,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000033,Aberdeen City,Council Area,2016,Ratio,Percent Of Adults,62,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000033,Aberdeen City,Council Area,2014,Ratio,Percent Of Adults,64,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000030,Stirling,Council Area,2014,Ratio,Percent Of Adults,75,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000035,Argyll and Bute,Council Area,2014,Ratio,Percent Of Adults,76,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000034,Aberdeenshire,Council Area,2014,Ratio,Percent Of Adults,57,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
S12000028,South Ayrshire,Council Area,2014,Ratio,Percent Of Adults,67,Percentage Of Adults Reporting that they are Very or Fairly Satisfied with Public Transport
