FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Indicator (public transport)
S12000028,South Ayrshire,Council Area,2015,Count,Train Stations,9,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2015,Count,Train Stations,2,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2015,Count,Train Stations,6,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2015,Count,Train Stations,0,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2015,Count,Train Stations,12,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2015,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2015,Count,Train Stations,3,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2014,Count,Train Stations,13,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2014,Count,Train Stations,11,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2014,Count,Train Stations,7,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2014,Count,Train Stations,12,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2014,Count,Train Stations,6,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2014,Count,Train Stations,2,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2014,Count,Train Stations,11,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2014,Count,Train Stations,14,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2015,Count,Train Stations,1,Number Of Passenger Train Stations
S92000003,Scotland,Country,2014,Count,Train Stations,349,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2015,Count,Train Stations,6,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2015,Count,Train Stations,7,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2014,Count,Train Stations,6,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2014,Count,Train Stations,2,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2014,Count,Train Stations,7,Number Of Passenger Train Stations
S12000047,Fife,Council Area,2014,Count,Train Stations,19,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2018,Count,Train Stations,6,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2018,Count,Train Stations,2,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2018,Count,Train Stations,7,Number Of Passenger Train Stations
S12000047,Fife,Council Area,2018,Count,Train Stations,19,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2018,Count,Train Stations,13,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2018,Count,Train Stations,11,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2018,Count,Train Stations,7,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2018,Count,Train Stations,12,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2019,Count,Train Stations,1,Number Of Passenger Train Stations
S92000003,Scotland,Country,2019,Count,Vehicle Kilometres,336,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S12000008,East Ayrshire,Council Area,2019,Count,Train Stations,6,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2019,Count,Train Stations,7,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2018,Count,Train Stations,25,Number Of Passenger Train Stations
S12000049,Glasgow City,Council Area,2018,Count,Train Stations,58,Number Of Passenger Train Stations
S92000003,Scotland,Country,2019,Count,Passenger Journeys,363,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2018,Count,Train Stations,357,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2018,Count,Train Stations,12,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2018,Count,Train Stations,3,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2018,Count,Train Stations,3,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2018,Count,Train Stations,0,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2018,Count,Train Stations,59,Number Of Passenger Train Stations
S12000014,Falkirk,Council Area,2018,Count,Train Stations,5,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2018,Count,Train Stations,4,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2018,Count,Train Stations,14,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2018,Count,Train Stations,6,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2018,Count,Train Stations,2,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2018,Count,Train Stations,12,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2018,Count,Train Stations,14,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2018,Count,Train Stations,9,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2018,Count,Train Stations,0,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2018,Count,Train Stations,6,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2018,Count,Train Stations,18,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2019,Count,Train Stations,12,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2019,Count,Train Stations,13,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2019,Count,Train Stations,2,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2019,Count,Train Stations,7,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2019,Count,Train Stations,14,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2019,Count,Train Stations,6,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2019,Count,Train Stations,11,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2019,Count,Train Stations,12,Number Of Passenger Train Stations
S92000003,Scotland,Country,2019,Count,Train Stations,357,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2019,Count,Train Stations,25,Number Of Passenger Train Stations
S92000003,Scotland,Country,2020,Count,Vehicle Kilometres,256,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2020,Count,Passenger Journeys,127,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S12000047,Fife,Council Area,2019,Count,Train Stations,19,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2019,Count,Train Stations,6,Number Of Passenger Train Stations
S12000049,Glasgow City,Council Area,2019,Count,Train Stations,59,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2019,Count,Train Stations,7,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2019,Count,Train Stations,13,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2019,Count,Train Stations,59,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2019,Count,Train Stations,3,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2019,Count,Train Stations,4,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2019,Count,Train Stations,9,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2019,Count,Train Stations,7,Number Of Passenger Train Stations
S12000014,Falkirk,Council Area,2019,Count,Train Stations,5,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2019,Count,Train Stations,0,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2019,Count,Train Stations,18,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2019,Count,Train Stations,9,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2019,Count,Train Stations,2,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2019,Count,Train Stations,6,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2019,Count,Train Stations,0,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2019,Count,Train Stations,12,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2019,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2019,Count,Train Stations,3,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2017,Count,Train Stations,9,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2017,Count,Train Stations,7,Number Of Passenger Train Stations
S12000014,Falkirk,Council Area,2017,Count,Train Stations,5,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2017,Count,Train Stations,0,Number Of Passenger Train Stations
S12000005,Clackmannanshire,Council Area,2017,Count,Train Stations,1,Number Of Passenger Train Stations
S92000003,Scotland,Country,2016,Count,Train Stations,357,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2017,Count,Train Stations,6,Number Of Passenger Train Stations
S12000006,Dumfries and Galloway,Council Area,2017,Count,Train Stations,7,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2017,Count,Train Stations,0,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2017,Count,Train Stations,12,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2017,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2017,Count,Train Stations,3,Number Of Passenger Train Stations
S12000018,Inverclyde,Council Area,2017,Count,Train Stations,14,Number Of Passenger Train Stations
S12000017,Highland,Council Area,2017,Count,Train Stations,59,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2017,Count,Train Stations,3,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2017,Count,Train Stations,4,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2016,Count,Train Stations,6,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2016,Count,Train Stations,2,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2016,Count,Train Stations,12,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2016,Count,Train Stations,14,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2016,Count,Train Stations,9,Number Of Passenger Train Stations
S12000027,Shetland Islands,Council Area,2016,Count,Train Stations,0,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2016,Count,Train Stations,6,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2016,Count,Train Stations,18,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2016,Count,Train Stations,6,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2016,Count,Train Stations,2,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2016,Count,Train Stations,7,Number Of Passenger Train Stations
S12000047,Fife,Council Area,2016,Count,Train Stations,19,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2016,Count,Train Stations,13,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2016,Count,Train Stations,11,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2016,Count,Train Stations,7,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2016,Count,Train Stations,12,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2016,Count,Train Stations,25,Number Of Passenger Train Stations
S12000049,Glasgow City,Council Area,2016,Count,Train Stations,58,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2017,Count,Train Stations,25,Number Of Passenger Train Stations
S12000049,Glasgow City,Council Area,2017,Count,Train Stations,58,Number Of Passenger Train Stations
S92000003,Scotland,Country,2018,Count,Passenger Journeys,375,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2017,Count,Passenger Journeys,387,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S08000031,Greater Glasgow and Clyde,Health Board Area,2012,Count,Train Stations,113,Number Of Passenger Train Stations
S08000032,Lanarkshire,Health Board Area,2012,Count,Train Stations,43,Number Of Passenger Train Stations
S12000010,East Lothian,Council Area,2018,Count,Train Stations,7,Number Of Passenger Train Stations
S12000008,East Ayrshire,Council Area,2018,Count,Train Stations,6,Number Of Passenger Train Stations
S12000013,Na h-Eileanan Siar,Council Area,2018,Count,Train Stations,0,Number Of Passenger Train Stations
S12000011,East Renfrewshire,Council Area,2018,Count,Train Stations,9,Number Of Passenger Train Stations
S92000003,Scotland,Country,2018,Count,Vehicle Kilometres,331,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2017,Count,Vehicle Kilometres,334,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S12000006,Dumfries and Galloway,Council Area,2018,Count,Train Stations,7,Number Of Passenger Train Stations
